ID,Thuật toán,Tham số,Chi phí tốt nhất,Chi phí trung bình,Thời gian (s)
1,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,982.63,1054.19,0.59
47,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,1056.21,1136.48,0.59
48,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,982.63,1100.82,0.67
49,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,982.63,1084.50,0.82
50,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,986.27,1165.93,0.51
51,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=True,1029.29,1105.86,0.70
52,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,986.27,1123.44,2.15
53,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,982.63,1095.65,1.91
54,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=swap, local_search=False,1024.88,1108.10,1.59
55,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,1124.79,1173.15,0.75
56,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,1032.52,1096.85,0.98
57,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,1070.66,1133.87,1.07
58,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1089.87,1165.46,0.72
59,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,982.63,1053.38,0.82
60,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1106.45,1164.38,0.94
61,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,1040.47,1140.44,0.99
62,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,1106.45,1150.53,0.91
63,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,1121.27,1174.27,0.69
64,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1040.47,1112.15,1.06
65,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1005.31,1079.02,0.63
66,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1000.79,1097.20,0.57
67,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,1005.31,1113.77,0.58
68,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,1126.18,1171.19,1.02
69,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,986.27,1056.76,1.34
70,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1085.61,1160.55,0.98
71,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1000.79,1114.54,0.65
72,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1038.70,1100.21,0.83
73,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,1068.40,1156.98,0.55
74,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,982.63,1046.07,0.56
75,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,982.63,1089.46,0.64
76,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1031.80,1096.67,1.72
77,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,986.27,1105.81,0.71
78,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,982.63,1081.04,1.29
79,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,1000.79,1077.88,1.24
80,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,982.63,1087.34,0.74
81,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,986.27,1082.95,0.55
82,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,982.63,1084.95,0.69
83,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1051.15,1115.32,0.53
84,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1039.24,1139.10,0.61
85,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,1051.15,1171.43,0.50
86,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,982.63,1089.94,0.54
87,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,982.63,1066.64,0.69
88,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,982.63,1111.47,0.84
89,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1029.29,1128.40,0.56
90,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1037.87,1118.97,0.53
91,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,982.63,1081.67,1.12
92,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,982.63,1099.65,0.60
93,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,1061.39,1133.83,0.56
94,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1000.79,1136.31,0.73
95,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1029.29,1134.49,0.62
96,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,982.63,1084.71,0.48
97,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,982.63,1116.47,0.59
98,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,986.27,1109.68,0.42
99,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,1013.94,1129.33,0.57
100,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,982.63,1103.64,0.65
101,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,982.63,1091.73,0.61
102,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1041.89,1146.38,0.52
103,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,982.63,1130.58,0.71
104,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,996.95,1111.56,0.49
105,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=True,986.27,1087.93,0.65
106,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1024.88,1171.76,0.57
107,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1031.80,1101.85,0.48
108,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=insert, local_search=False,1025.32,1141.06,0.47
109,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,982.63,1052.59,0.75
110,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,982.63,1069.01,0.48
111,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,982.63,1068.25,0.47
112,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,982.63,1096.66,0.42
113,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,1045.16,1132.27,0.54
114,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,982.63,1058.53,0.40
115,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,986.27,1060.27,0.64
116,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,1031.80,1126.78,0.37
117,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,1005.99,1082.01,0.73
118,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,982.63,1086.45,0.38
119,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,982.63,1023.97,0.82
120,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,1031.80,1086.30,0.85
121,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,1000.79,1091.00,0.50
122,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,1046.39,1144.26,0.59
123,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,986.27,1080.18,0.99
124,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,999.12,1099.28,0.59
125,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,1025.32,1113.59,0.44
126,GA,mutation_rate=0.05, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,999.18,1123.96,0.51
127,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,996.95,1086.17,0.40
128,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,1046.80,1124.19,0.39
129,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,1031.80,1108.41,0.32
130,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,1000.12,1096.64,0.44
131,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,1005.99,1098.14,0.50
132,GA,mutation_rate=0.1, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,1024.88,1121.92,0.49
133,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,986.27,1099.94,0.63
134,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,1089.87,1157.68,0.57
135,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,982.63,1063.51,0.48
136,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,982.63,1097.30,0.62
137,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,1039.24,1123.04,0.53
138,GA,mutation_rate=0.1, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,1043.76,1122.30,0.41
139,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,999.18,1131.48,0.53
140,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,982.63,1121.88,0.55
141,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,1070.53,1135.11,0.47
142,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,982.63,1084.12,1.13
143,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,1066.64,1140.87,0.51
144,GA,mutation_rate=0.1, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,982.63,1100.39,0.41
145,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,1001.89,1087.55,0.85
146,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,1031.80,1121.06,0.69
147,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,982.63,1095.85,0.49
148,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,1136.53,1228.89,0.46
149,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,982.63,1072.41,0.94
150,GA,mutation_rate=0.2, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,1040.47,1129.16,0.70
151,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,982.63,1107.27,0.52
152,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,982.63,1115.89,0.65
153,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,1040.47,1148.71,0.47
154,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,1053.58,1183.82,0.39
155,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,991.17,1079.18,0.85
156,GA,mutation_rate=0.2, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,982.63,1058.01,0.75
157,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,986.27,1107.92,0.52
158,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,1029.29,1159.09,0.48
159,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=True,1039.24,1137.03,0.34
160,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,982.63,1110.49,0.97
161,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,991.17,1110.61,0.66
162,GA,mutation_rate=0.2, crossover_rate=0.9, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=inversion, local_search=False,999.18,1090.14,0.79
163,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=scramble, local_search=True,1031.80,1110.43,0.67
164,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=scramble, local_search=True,1013.77,1108.14,0.62
165,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=scramble, local_search=True,1121.92,1180.81,0.44
166,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=scramble, local_search=False,1104.19,1162.97,0.58
167,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=scramble, local_search=False,1025.32,1073.25,0.72
168,GA,mutation_rate=0.05, crossover_rate=0.7, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=scramble, local_search=False,1082.38,1151.04,0.52
169,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=1, selection_method=tournament, crossover_method=ordered, mutation_method=scramble, local_search=True,1025.32,1091.42,0.68
170,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=3, selection_method=tournament, crossover_method=ordered, mutation_method=scramble, local_search=True,982.63,1074.96,0.57
171,GA,mutation_rate=0.05, crossover_rate=0.8, elitism=5, selection_method=tournament, crossover_method=ordered, mutation_method=scramble, local_search=True,1000.79,1074.86,0.63
